province,year,government_turnover,party_turnover,new_government_leader_names,new_party_leader_names,any_top_leader_turnover,joint_top_leader_turnover,leadership_data_observed,years_since_party_turnover,years_since_government_turnover
Heilongjiang,2014,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Heilongjiang,2015,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Heilongjiang,2016,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Heilongjiang,2017,0.0,1.0,,张庆伟,1.0,0.0,1,0.0,4.0
Heilongjiang,2018,1.0,0.0,王文涛,,1.0,0.0,1,1.0,0.0
Heilongjiang,2019,,,,,,,0,,
Heilongjiang,2020,,,,,,,0,,
Heilongjiang,2021,,,,,,,0,,
Heilongjiang,2022,,,,,,,0,,
Heilongjiang,2023,,,,,,,0,,
Henan,2000,1.0,0.0,陈奎元,,1.0,0.0,1,,0.0
Henan,2001,0.0,0.0,,,0.0,0.0,1,,1.0
Henan,2002,1.0,0.0,李克强,,1.0,0.0,1,,0.0
Henan,2003,0.0,1.0,,李成玉,1.0,0.0,1,0.0,1.0
Henan,2004,1.0,0.0,李成玉,,1.0,0.0,1,1.0,0.0
Henan,2005,0.0,0.0,,,0.0,0.0,1,2.0,1.0
Henan,2006,0.0,0.0,,,0.0,0.0,1,3.0,2.0
Henan,2007,0.0,0.0,,,0.0,0.0,1,4.0,3.0
Henan,2008,1.0,0.0,郭庚茂,,1.0,0.0,1,5.0,0.0
Henan,2009,0.0,1.0,,卢展工,1.0,0.0,1,0.0,1.0
Henan,2010,0.0,0.0,,,0.0,0.0,1,1.0,2.0
Henan,2011,0.0,0.0,,,0.0,0.0,1,2.0,3.0
Henan,2012,0.0,0.0,,,0.0,0.0,1,3.0,4.0
Henan,2013,1.0,1.0,谢伏瞻,郭庚茂,1.0,1.0,1,0.0,0.0
Henan,2014,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Henan,2015,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Henan,2016,1.0,1.0,陈润儿,谢伏瞻,1.0,1.0,1,0.0,0.0
Henan,2017,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Henan,2018,0.0,1.0,,王国生,1.0,0.0,1,0.0,2.0
Henan,2019,,,,,,,0,,
Henan,2020,,,,,,,0,,
Henan,2021,,,,,,,0,,
Henan,2022,,,,,,,0,,
Henan,2023,,,,,,,0,,
Hubei,2000,0.0,1.0,,蒋祝平,1.0,0.0,1,0.0,
Hubei,2001,1.0,1.0,张国光,俞正声,1.0,1.0,1,0.0,0.0
Hubei,2002,1.0,0.0,罗清泉,,1.0,0.0,1,1.0,0.0
Hubei,2003,0.0,0.0,,,0.0,0.0,1,2.0,1.0
Hubei,2004,0.0,0.0,,,0.0,0.0,1,3.0,2.0
Hubei,2005,0.0,0.0,,,0.0,0.0,1,4.0,3.0
Hubei,2006,0.0,0.0,,,0.0,0.0,1,5.0,4.0
Hubei,2007,1.0,1.0,李鸿忠,罗清泉,1.0,1.0,1,0.0,0.0
Hubei,2008,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hubei,2009,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Hubei,2010,1.0,1.0,王国生,李鸿忠,1.0,1.0,1,0.0,0.0
Hubei,2011,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Hubei,2012,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Hubei,2013,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Hubei,2014,0.0,0.0,,,0.0,0.0,1,4.0,4.0
Hubei,2015,0.0,0.0,,,0.0,0.0,1,5.0,5.0
