province,role,Name,start_year,source_terms
Hunan,government,孙治国,1979,1979.12-1983.04
Hunan,government,刘正,1983,1983.02-1985.06
Hunan,government,熊清泉,1985,1985.07-1989.02
Hunan,government,陈邦柱,1989,1989.02-1989.05 | 1989.05-1995.01
Hunan,government,杨正午,1995,1995.01-1995.02 | 1995.02-1998.10
Hunan,government,储波,1998,1998.10-1999.02 | 1999.02-2001.08
Hunan,government,张云川,2001,2001.08-2002.02 | 2002.02-2003.03
Hunan,government,周伯华,2003,2003.03-2004.01 | 2004.01-2006.09
Hunan,government,周强,2006,2006.09-2007.02 | 2007.02-2010.09
Hunan,government,徐守盛,2010,2010.09-2013.04
Hunan,government,杜家毫,2013,2013.04-2013.05 | 2013.05-2016.09
Hunan,party,黄克诚,1949,1949.08-1952.09
Hunan,party,金明,1952,1952.09-1953.10
Hunan,party,周小舟,1953,1953.10-1959.09
Hunan,party,张平化,1959,1959.09-1967.08
Hunan,party,王延春,1966,1966.06-文革初期
Hunan,party,华国锋,1970,1970.11-1977.06
Hunan,party,毛致用,1977,1977.06-1988.04
Hunan,party,熊清泉,1988,1988.04-1993.09
Hunan,party,王茂林,1993,1993.09-1998.09
Hunan,party,杨正午,1998,1998.09-2006.01
Hunan,party,张春贤,2005,2005.12-2010.04
Hunan,party,周强,2010,2010.09-2013.03
Hunan,party,徐守盛,2013,2013.03-2016.08
Hunan,party,杜家毫,2016,2016.08-至今
Jiangsu,government,谭振林,1953,1953.01-1955.02
Jiangsu,government,惠浴宇,1955,1955.02-文革 | 1979.12-1982.07
Jiangsu,government,许世友,1968,1968.03-1973.12
Jiangsu,government,彭冲,1974,1974.01-1977.02
Jiangsu,government,许家屯,1977,1977.02-1979.12
Jiangsu,government,韩培信,1982,1982.07-1983.05
Jiangsu,government,顾秀莲,1983,1983.05-1989.04
Jiangsu,government,陈焕友,1989,1989.04-1994.09
Jiangsu,government,郑斯林,1994,1994.09-1995.02 | 1995.02-1998.10
Jiangsu,government,季允石,1998,1998.09-1999.02 | 1999.02-2002.12
Jiangsu,government,梁保华,2002,2002.12-2003.02 | 2003.02-2008.01
Jiangsu,government,罗志军,2008,2008.02-2010.12
Jiangsu,government,李学勇,2010,2010.12-2011.02 | 2011.02-2015.12
Jiangsu,government,石泰峰,2015,2015.12-2016.01 | 2016.01-2017.04
Jiangsu,government,吴政隆,2017,2017.05-2017.07 | 2017.07-至今
Jiangsu,party,柯庆施,1952,1952.11-1954.08
Jiangsu,party,江渭清,1954,1954.08-文革
Jiangsu,party,许世友,1970,1970.12-1973.12
Jiangsu,party,彭冲,1974,1974.01-1977.02
Jiangsu,party,许家屯,1977,1977.02-1983.04
Jiangsu,party,韩培信,1983,1983.03-1989.12
Jiangsu,party,沈达人,1989,1989.12-1993.09
Jiangsu,party,陈焕友,1993,1993.09-2000.01
Jiangsu,party,回良玉,2000,2000.01-2002.12
Jiangsu,party,李源潮,2002,2002.12-2007.10
Jiangsu,party,梁保华,2007,2007.10-2010.12
Jiangsu,party,罗志军,2010,2010.12-2016.06
Jiangsu,party,李强,2016,2016.-2017.
Jiangsu,party,娄勤俭,2017,2017.10-至今
Jiangxi,government,邵式平,1949,1949.06-1965.03
Jiangxi,government,方志纯,1965,1965.04-文革
Jiangxi,government,程世清,1968,1968.01-1972.06
Jiangxi,government,江渭清,1974,1974.12-1979.12
Jiangxi,government,白栋材,1979,1979.12-1982.08
Jiangxi,government,赵益增,1982,1982.08-1985.07
