variable,module,province,province_cn,wind_code,wind_name,wind_source,wind_unit,wind_frequency,output_unit,annual_method,update_date
coal_transfer_in_10k_ton,flows,Yunnan,云南,D2015803,中国:云南:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Tianjin,天津,D2246384,中国:天津:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
wind_capacity_addition_10k_kw,capacity,Jilin,吉林,D2521552,中国:吉林:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_in_10k_ton,flows,Hebei,河北,D2526104,中国:河北:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_out_raw_10k_ton,flows,Yunnan,云南,D3024591,中国:云南:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Guangxi,广西,D3527824,中国:广西:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
wind_capacity_addition_10k_kw,capacity,Heilongjiang,黑龙江,D3869924,中国:黑龙江:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_out_raw_100m_kwh,flows,Ningxia,宁夏,D5845176,中国:宁夏:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Henan,河南,D6911613,中国:河南:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Fujian,福建,D8736444,中国:福建:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Ningxia,宁夏,D8928157,中国:宁夏:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
solar_capacity_10k_kw,capacity,Heilongjiang,黑龙江,F0856007,中国:黑龙江:装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_out_raw_10k_ton,flows,Hebei,河北,F2590334,中国:河北:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Guangdong,广东,F5772073,中国:广东:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
solar_capacity_addition_10k_kw,capacity,Zhejiang,浙江,F6030609,中国:浙江:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
solar_capacity_addition_10k_kw,capacity,Shanxi,山西,F7413724,中国:山西:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_out_raw_10k_ton,flows,Anhui,安徽,F7760639,中国:安徽:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Hunan,湖南,F8228485,中国:湖南:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
solar_capacity_10k_kw,capacity,Hebei,河北,F9513921,中国:河北:装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
solar_capacity_addition_10k_kw,capacity,Qinghai,青海,H3620476,中国:青海:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
wind_capacity_addition_10k_kw,capacity,Gansu,甘肃,H5578044,中国:甘肃:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_in_100m_kwh,flows,Fujian,福建,H5895434,中国:福建:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
electricity_transfer_out_raw_100m_kwh,flows,Gansu,甘肃,J1188330,中国:甘肃:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
coal_transfer_out_raw_10k_ton,flows,Henan,河南,J1418575,中国:河南:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
solar_capacity_addition_10k_kw,capacity,Chongqing,重庆,J4082493,中国:重庆:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
wind_capacity_addition_10k_kw,capacity,Jiangsu,江苏,J4425200,中国:江苏:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
solar_capacity_addition_10k_kw,capacity,Hubei,湖北,J8199814,中国:湖北:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_in_10k_ton,flows,Zhejiang,浙江,J9518982,中国:浙江:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_out_raw_10k_ton,flows,Chongqing,重庆,J9733060,中国:重庆:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Xinjiang,新疆,K0635695,中国:新疆:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_out_raw_100m_kwh,flows,Heilongjiang,黑龙江,K0643340,中国:黑龙江:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
solar_capacity_10k_kw,capacity,Zhejiang,浙江,K2589876,中国:浙江:装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
wind_capacity_addition_10k_kw,capacity,Ningxia,宁夏,K4252216,中国:宁夏:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
solar_capacity_addition_10k_kw,capacity,Henan,河南,K7022608,中国:河南:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
solar_capacity_addition_10k_kw,capacity,Jiangsu,江苏,K7024000,中国:江苏:当年新增装机容量:新能源:太阳能:集中式光伏,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_out_raw_100m_kwh,flows,Anhui,安徽,K7535452,中国:安徽:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Chongqing,重庆,K7662993,中国:重庆:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_out_raw_100m_kwh,flows,Liaoning,辽宁,K8219763,中国:辽宁:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Neimenggu,内蒙古,K9156925,中国:内蒙古:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Jiangxi,江西,K9401847,中国:江西:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
solar_capacity_addition_10k_kw,capacity,Gansu,甘肃,K9832313,中国:甘肃:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_out_raw_10k_ton,flows,Guizhou,贵州,L0588312,中国:贵州:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
