province,province_cn,year,month,series_type,variable,value,unit,code
Hebei,河北,2020,3,power_output,power_output_jan_nov_10k_kwh,1340028.0,万千瓦时,S5151457
Hebei,河北,2020,3,solar_utilization_hours,solar_utilization_hours_jan_nov,328.0,小时,S5150471
Hebei,河北,2020,3,wind_utilization_hours,wind_utilization_hours,596.0,小时,S5132511
Hebei,河北,2020,4,power_output,power_output_jan_nov_10k_kwh,1788081.0,万千瓦时,S5151457
Hebei,河北,2020,4,solar_utilization_hours,solar_utilization_hours_jan_nov,472.0,小时,S5150471
Hebei,河北,2020,4,wind_utilization_hours,wind_utilization_hours,806.0,小时,S5132511
Hebei,河北,2020,5,power_output,power_output_jan_nov_10k_kwh,2188562.0,万千瓦时,S5151457
Hebei,河北,2020,5,solar_utilization_hours,solar_utilization_hours_jan_nov,601.0,小时,S5150471
Hebei,河北,2020,5,wind_utilization_hours,wind_utilization_hours,1013.0,小时,S5132511
Hebei,河北,2020,6,power_output,power_output_jan_nov_10k_kwh,2781257.0,万千瓦时,S5151457
Hebei,河北,2020,6,solar_utilization_hours,solar_utilization_hours_jan_nov,724.0,小时,S5150471
Hebei,河北,2020,6,wind_utilization_hours,wind_utilization_hours,1158.0,小时,S5132511
Hebei,河北,2020,7,power_output,power_output_jan_nov_10k_kwh,3204210.0,万千瓦时,S5151457
Hebei,河北,2020,7,solar_utilization_hours,solar_utilization_hours_jan_nov,831.0,小时,S5150471
Hebei,河北,2020,7,wind_utilization_hours,wind_utilization_hours,1259.0,小时,S5132511
Hebei,河北,2020,8,power_output,power_output_jan_nov_10k_kwh,3640612.0,万千瓦时,S5151457
Hebei,河北,2020,8,solar_utilization_hours,solar_utilization_hours_jan_nov,941.0,小时,S5150471
Hebei,河北,2020,8,wind_utilization_hours,wind_utilization_hours,1360.0,小时,S5132511
Hebei,河北,2020,9,power_output,power_output_jan_nov_10k_kwh,4002674.0,万千瓦时,S5151457
Hebei,河北,2020,9,solar_utilization_hours,solar_utilization_hours_jan_nov,1060.0,小时,S5150471
Hebei,河北,2020,9,wind_utilization_hours,wind_utilization_hours,1500.0,小时,S5132511
Hebei,河北,2020,10,power_output,power_output_jan_nov_10k_kwh,4453170.0,万千瓦时,S5151457
Hebei,河北,2020,10,solar_utilization_hours,solar_utilization_hours_jan_nov,1181.0,小时,S5150471
Hebei,河北,2020,10,wind_utilization_hours,wind_utilization_hours,1697.0,小时,S5132511
