province,year,high_energy_interest_share,green_credit_level,green_credit_proxy_pct,green_credit_interpolated_flag,iv_assets_assets_growth_loo,iv_outlets_assets_growth_loo,iv_assets_assets_cum2011_loo,iv_outlets_assets_cum2011_loo,iv_assets_outlets_growth_loo,iv_outlets_outlets_growth_loo,iv_assets_outlets_cum2011_loo,iv_outlets_outlets_cum2011_loo,post2012,iv_aw_acum_post,iv_ow_acum_post,iv_aw_ocum_post,iv_ow_ocum_post
Chongqing,2008,0.539818483957561,0.4601815160424389,46.0181516042439,0,0.17643669169756504,0.22579683907130538,-0.6170091144826748,-0.594886062720781,-0.05020168222089773,-0.06665798244703917,-0.09326805113724342,-0.08637939889980752,0,-0.0,-0.0,-0.0,-0.0
Chongqing,2009,0.559431524547804,0.440568475452196,44.0568475452196,0,0.24865017531155187,0.23317838220081527,-0.3683589391711229,-0.3617076805199657,0.04259512120349944,0.024667804671222752,-0.05067292993374399,-0.061711594228584764,0,-0.0,-0.0,-0.0,-0.0
Chongqing,2010,0.552012845509806,0.447987154490194,44.7987154490194,0,0.18619965088087806,0.1832512392700037,-0.1821592882902448,-0.17845644124996207,0.007740306988636419,0.039295937582084384,-0.042932622945107565,-0.02241565664650038,0,-0.0,-0.0,-0.0,-0.0
Chongqing,2011,0.469089488081282,0.5309105119187181,53.091051191871806,0,0.1821592882902448,0.17845644124996207,0.0,0.0,0.042932622945107565,0.02241565664650038,0.0,0.0,0,0.0,0.0,0.0,0.0
Chongqing,2012,0.522662311147407,0.477337688852593,47.733768885259295,0,0.16259628971622098,0.16646349920971787,0.16259628971622098,0.16646349920971787,0.03627684439507591,0.0038564649708241134,0.03627684439507591,0.0038564649708241134,1,0.16259628971622098,0.16646349920971787,0.03627684439507591,0.0038564649708241134
Chongqing,2013,0.488486183420104,0.511513816579896,51.1513816579896,0,0.1172816946933569,0.12499100988803417,0.2798779844095779,0.29145450909775206,0.04620198001955501,0.03325981656138452,0.08247882441463092,0.03711628153220864,1,0.2798779844095779,0.29145450909775206,0.08247882441463092,0.03711628153220864
Chongqing,2014,0.495886047951871,0.504113952048129,50.411395204812905,0,0.17592669312810508,0.2523203862167381,0.45580467753768295,0.5437748953144901,0.08852484251351742,0.023448550236674894,0.1710036669281483,0.06056483176888353,1,0.45580467753768295,0.5437748953144901,0.1710036669281483,0.06056483176888353
Chongqing,2015,0.471480804387569,0.528519195612431,52.8519195612431,0,0.07615823381784699,-0.009944629851561025,0.53196291135553,0.5338302654629291,0.05363232262402491,0.023087717251124563,0.22463598955217323,0.0836525490200081,1,0.53196291135553,0.5338302654629291,0.22463598955217323,0.0836525490200081
Chongqing,2016,0.440878229433031,0.559121770566969,55.9121770566969,0,0.1297990660105649,0.12612411016856123,0.6617619773660948,0.6599543756314903,0.06531735723927852,0.01598597955260478,0.28995334679145174,0.09963852857261288,1,0.6617619773660948,0.6599543756314903,0.28995334679145174,0.09963852857261288
Chongqing,2017,0.429482071713147,0.570517928286853,57.0517928286853,1,0.024777525928824616,0.05869425038248917,0.6865395032949195,0.7186486260139795,-0.010560373987075138,-0.0003147253930797728,0.2793929728043766,0.0993238031795331,1,0.6865395032949195,0.7186486260139795,0.2793929728043766,0.0993238031795331
Chongqing,2018,0.416470705958873,0.583529294041127,58.3529294041127,0,-0.002422763330733267,0.045897745693940686,0.6841167399641862,0.7645463717079202,-0.004373440876904333,0.01103744938114554,0.2750195319274723,0.11036125256067864,1,0.6841167399641862,0.7645463717079202,0.2750195319274723,0.11036125256067864
Chongqing,2019,0.428475625483621,0.5715243745163789,57.152437451637894,0,0.11314136797297673,0.03343011525545843,0.7972581079371629,0.7979764869633786,0.010814988326933193,-0.05574541729340479,0.2858345202544054,0.05461583526727386,1,0.7972581079371629,0.7979764869633786,0.2858345202544054,0.05461583526727386
Chongqing,2020,0.420847569382006,0.579152430617994,57.9152430617994,0,0.079666884860714,0.15568808963648656,0.8769249927978768,0.9536645765998651,-0.03687725376823079,0.014701941085548353,0.24895726648617467,0.0693177763528222,1,0.8769249927978768,0.9536645765998651,0.24895726648617467,0.0693177763528222
Chongqing,2021,0.43094944512947,0.56905055487053,56.905055487053005,0,0.08298288013633259,0.09412883027544564,0.9599078729342094,1.0477934068753108,0.02143145043684938,0.005108739014632555,0.2703887169230241,0.07442651536745476,1,0.9599078729342094,1.0477934068753108,0.2703887169230241,0.07442651536745476
Chongqing,2022,0.45413786661685,0.5458621333831499,54.58621333831499,0,0.09648609225058599,0.08037060935656659,1.0563939651847956,1.1281640162318773,-0.001510876985756667,-0.007011781938647582,0.2688778399372674,0.06741473342880716,1,1.0563939651847956,1.1281640162318773,0.2688778399372674,0.06741473342880716
Fujian,2005,0.466998754669988,0.5330012453300119,53.300124533001195,0,,,-1.2101875181497446,-1.1893028391965856,,,,,0,-0.0,-0.0,,
Fujian,2006,0.489432464327862,0.510567535672138,51.05675356721379,0,0.2426754034815841,0.2362836057731466,-0.9675121146681606,-0.9530192334234392,,,,,0,-0.0,-0.0,,
Fujian,2007,0.463069169273549,0.536930830726451,53.693083072645095,0,0.22437575465587206,0.1496704971897715,-0.7431363600122884,-0.8033487362336676,,,-0.061562878137000274,-0.02332066760780438,0,-0.0,-0.0,-0.0,-0.0
Fujian,2008,0.489746972059,0.510253027941,51.0253027941,0,0.13400406772881335,0.21657848000314422,-0.6091322922834752,-0.5867702562305235,-0.06657610018821469,-0.04568825754996571,-0.12813897832521495,-0.06900892515777009,0,-0.0,-0.0,-0.0,-0.0
Fujian,2009,0.474835061262959,0.525164938737041,52.51649387370409,0,0.24948663448108732,0.23887566318966114,-0.3596456578023878,-0.34789459304086234,0.07295552161509478,0.019054956390116076,-0.05518345671012019,-0.049953968767654004,0,-0.0,-0.0,-0.0,-0.0
Fujian,2010,0.498221407782688,0.501778592217312,50.1778592217312,0,0.16276990432215155,0.1813462086549808,-0.19687575348023625,-0.16654838438588151,-0.003137429252518495,0.02359338125452924,-0.05832088596263869,-0.026360587513124766,0,-0.0,-0.0,-0.0,-0.0
Fujian,2011,0.441284269168744,0.558715730831256,55.8715730831256,0,0.19687575348023625,0.16654838438588151,0.0,0.0,0.05832088596263869,0.026360587513124766,0.0,0.0,0,0.0,0.0,0.0,0.0
Fujian,2012,0.435042071969923,0.5649579280300769,56.495792803007696,0,0.16499539179928083,0.15821985565821206,0.16499539179928083,0.15821985565821206,0.05147802767362549,0.011704710889262986,0.05147802767362549,0.011704710889262986,1,0.16499539179928083,0.15821985565821206,0.05147802767362549,0.011704710889262986
Fujian,2013,0.440729318833523,0.5592706811664769,55.927068116647696,0,0.1104466157200681,0.11812381305563487,0.27544200751934894,0.27634366871384697,0.05531416234932386,0.029914742978411787,0.10679219002294933,0.04161945386767477,1,0.27544200751934894,0.27634366871384697,0.10679219002294933,0.04161945386767477
Fujian,2014,0.447563362485445,0.5524366375145551,55.24366375145551,0,0.1486982736725371,0.21898565031511902,0.42414028119188607,0.49532931902896593,0.13163600384152468,0.030158116482614454,0.238428193864474,0.07177757035028923,1,0.42414028119188607,0.49532931902896593,0.238428193864474,0.07177757035028923
Fujian,2015,0.45993692347822,0.54006307652178,54.006307652177995,0,0.06552692197336307,0.00850226448999884,0.48966720316524914,0.5038315835189648,0.07185295625741427,0.022102498084280834,0.3102811501218883,0.09388006843457006,1,0.48966720316524914,0.5038315835189648,0.3102811501218883,0.09388006843457006
Fujian,2016,0.458337588073113,0.541662411926887,54.1662411926887,0,0.1286293729472925,0.11745325692280324,0.6182965761125416,0.6212848404417681,0.09590100380743342,0.012859417880214928,0.40618215392932167,0.106739486314785,1,0.6182965761125416,0.6212848404417681,0.40618215392932167,0.106739486314785
Fujian,2017,0.443375799385669,0.5566242006143309,55.662420061433096,1,-0.019679494979294946,0.05455455699206766,0.5986170811332466,0.6758393974338357,-0.033422660232902676,0.0007776801267485546,0.372759493696419,0.10751716644153354,1,0.5986170811332466,0.6758393974338357,0.372759493696419,0.10751716644153354
Fujian,2018,0.428794953308166,0.5712050466918339,57.12050466918339,0,-0.041029571661574823,0.02609487349133762,0.5575875094716718,0.7019342709251734,-0.029285113663605193,0.004807325509069007,0.3434743800328139,0.11232449195060255,1,0.5575875094716718,0.7019342709251734,0.3434743800328139,0.11232449195060255
Fujian,2019,0.449461820944663,0.550538179055337,55.0538179055337,0,0.15680803872001536,0.07390307318089304,0.7143955481916872,0.7758373441060664,0.046180364297975375,-0.021671315169527028,0.3896547443307892,0.09065317678107553,1,0.7143955481916872,0.7758373441060664,0.3896547443307892,0.09065317678107553
Fujian,2020,0.479802308307622,0.5201976916923781,52.01976916923781,0,0.059924704215270776,0.12170749411897872,0.7743202524069579,0.897544838225045,-0.0713304131985474,-0.013367883617256293,0.3183243311322418,0.07728529316381924,1,0.7743202524069579,0.897544838225045,0.3183243311322418,0.07728529316381924
Fujian,2021,0.503412295544275,0.496587704455725,49.6587704455725,0,0.07919933425612706,0.09238378750250234,0.853519586663085,0.9899286257275474,0.025861262997798614,0.005920297602288273,0.3441855941300404,0.0832055907661075,1,0.853519586663085,0.9899286257275474,0.3441855941300404,0.0832055907661075
Fujian,2022,0.531485953985001,0.468514046014999,46.8514046014999,0,0.07601257837815693,0.0639578669669368,0.9295321650412419,1.0538864926944842,0.002498368008974897,-0.006942032259202011,0.34668396213901537,0.0762635585069055,1,0.9295321650412419,1.0538864926944842,0.34668396213901537,0.0762635585069055
Gansu,2005,0.753234458819817,0.246765541180183,24.676554118018306,0,,,-1.1695842730810373,-1.210629692191223,,,,,0,-0.0,-0.0,,
Gansu,2006,0.761066969353008,0.238933030646992,23.8933030646992,0,0.20999598822683152,0.23917111607624036,-0.9595882848542058,-0.9714585761149825,,,,,0,-0.0,-0.0,,
