province,year,bank_category,shock_assets_growth_loo,shock_assets_cum2011_loo,shock_outlets_growth_loo,shock_outlets_cum2011_loo
Beijing,2015,large,0.004025129131717264,0.33488199830532217,0.012484225920495362,0.053049394598494004
Beijing,2015,policy,0.22629008788845617,0.6345921469388323,-0.002142475377647557,0.008616100690790773
Beijing,2015,postal,-0.1265897195775132,0.5004573398845888,-0.025970132238656518,0.010555770187410829
Beijing,2015,rural,0.022602993496951385,0.6597074984844244,0.030394181910011753,0.05716419844999443
Beijing,2016,city,0.21622968809899135,1.0473479266461414,0.16851402735357013,0.6081467004997201
Beijing,2016,foreign,0.07204598353105496,0.32435210896502653,0.009273636785329664,0.22058273045253607
Beijing,2016,joint_stock,0.17048647792978855,0.7707309828560565,0.252793192378693,0.9007009390314717
Beijing,2016,large,0.07360478662721448,0.40848678493253665,-0.021824612870590343,0.03122478172790366
Beijing,2016,policy,0.15176955723712027,0.7863617041759525,0.002677377770717193,0.011293478461507966
Beijing,2016,postal,0.13269051692710931,0.6331478568116982,0.0007156702258637182,0.011271440413274547
Beijing,2016,rural,0.1526690930415775,0.812376591526002,0.00800351275858091,0.06516771120857534
Beijing,2017,city,0.10373683834068359,1.151084764986825,0.04955738071222804,0.6577040812119481
Beijing,2017,foreign,0.09383105167835915,0.4181831606433857,-0.042961032769004426,0.17762169768353164
Beijing,2017,joint_stock,-0.1439208184783336,0.6268101643777229,-0.09836557928456102,0.8023353597469107
Beijing,2017,large,0.0572412607006374,0.46572804563317405,0.010422773301137056,0.04164755502904072
Beijing,2017,policy,0.08575570990167058,0.8721174140776231,0.004801289564832167,0.016094768026340134
Beijing,2017,postal,0.06398668309140376,0.6971345399031019,-0.010036184241865698,0.0012352561714088495
Beijing,2017,rural,0.08881679275141963,0.9011933842774216,0.00992894321639426,0.0750966544249696
Beijing,2018,city,0.016785383859177827,1.1678701488460028,0.05147000434861759,0.7091740855605657
Beijing,2018,foreign,-0.6652351252846582,-0.24705196464127255,-0.2841195464181778,-0.10649784873464618
Beijing,2018,joint_stock,-0.09843448192276227,0.5283756824549606,-0.0707796651849133,0.7315556945619974
Beijing,2018,large,-0.022925516792639655,0.4428025288405344,0.002543156046018069,0.044190711075058786
Beijing,2018,policy,0.04674639280014148,0.9188638068777646,0.03452225663908148,0.05061702466542162
Beijing,2018,postal,0.12395576128557906,0.821090301188681,0.03770018104505013,0.03893543721645898
Beijing,2018,rural,0.053542708858994814,0.9547360931364164,0.006436993548717851,0.08153364797368745
