province,bank_category,weight_assets_2011,weight_outlets_2011
Xizang,city,0.0258474309791837,0.0015873015873015873
Xizang,foreign,0.0,0.0
Xizang,joint_stock,0.0,0.0
Xizang,large,0.9383057669328974,0.8793650793650793
Xizang,policy,0.006917803911703667,0.0015873015873015873
Xizang,postal,0.028928998176215335,0.11746031746031746
Xizang,rural,0.0,0.0
Yunnan,city,0.05557286742686321,0.026493908334944884
Yunnan,foreign,0.0013573680791393124,0.0005801585766776252
Yunnan,joint_stock,0.14306765185885484,0.028427770257203635
Yunnan,large,0.4610562119395575,0.3028427770257204
Yunnan,policy,0.11632169095316816,0.017017984915877006
Yunnan,postal,0.024696704817336285,0.16031715335525043
Yunnan,rural,0.19792750492508066,0.46432024753432605
Zhejiang,city,0.1252673796791444,0.059103385178408054
Zhejiang,foreign,0.004625668449197861,0.0024702653247941444
Zhejiang,joint_stock,0.20477272727272727,0.05196706312900275
Zhejiang,large,0.4472326203208556,0.3482159194876487
Zhejiang,policy,0.04393048128342246,0.0054894784995425435
Zhejiang,postal,0.023823529411764705,0.15269899359560843
Zhejiang,rural,0.1503475935828877,0.38005489478499543
