province,province_cn,year,renewable_consumption_100m_kwh,renewable_consumption_share,renewable_consumption_share_yoy_pp,nonhydro_renewable_consumption_100m_kwh,nonhydro_renewable_consumption_share,nonhydro_renewable_consumption_share_yoy_pp,nonhydro_renewable_benchmark_2020_share,source_report,source_url,renewable_minimum_target_share,nonhydro_renewable_minimum_target_share,re_cons_sh,nonhydro_re_cons_sh
Tianjin,天津,2019,112.0,0.126,1.2,106.0,0.12,1.0,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.126,0.12
Tianjin,天津,2020,141.0,0.161,3.5,132.0,0.151,3.1,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.145,0.14,0.161,0.151
Tianjin,天津,2021,191.0,0.195,3.4,181.0,0.184,3.3,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.17,0.16,0.195,0.184
Tianjin,天津,2022,209.0,0.21100000000000002,1.6,192.0,0.19399999999999998,1.0,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.184,0.175,0.21100000000000002,0.19399999999999998
Tianjin,天津,2023,,0.23199999999999998,2.1,,0.212,1.8,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.195,0.187,0.23199999999999998,0.212
Xinjiang,新疆,2015,362.0,0.226,,169.0,0.105,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.226,0.105
Xinjiang,新疆,2016,410.0,0.22899999999999998,0.3,199.0,0.111,0.6,0.13,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.22899999999999998,0.111
Xinjiang,新疆,2017,521.0,0.26,3.1,263.0,0.131,2.0,0.13,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.26,0.131
Xinjiang,新疆,2018,573.5,0.268,0.8,315.17,0.147,1.6,0.13,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.268,0.147
Xinjiang,新疆,2019,631.0,0.21899999999999997,-4.9,319.0,0.111,-3.6,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.21899999999999997,0.111
