province,year,coal_unit_count,coal_unit_average_capacity_mw,coal_unit_utilization_hours,coal_unit_operating_hours,coal_unit_standby_hours,coal_unit_operating_factor,coal_unit_standby_factor,source_report,source_url
Jilin,2021,45,322.22,,7104.45,875.01,0.8110102739726027,0.09988698630136986,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Jilin,2022,45,322.22,,6972.34,1119.99,0.7959292237442922,0.1278527397260274,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Jilin,2023,45,322.22,,7481.32,645.74,0.8540319634703196,0.07371461187214612,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Liaoning,2018,62,385.32,4308.32,7055.09,1035.14,0.8053755707762558,0.11816666666666668,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Liaoning,2019,64,384.22,4081.85,6966.41,1211.14,0.7952522831050228,0.13825799086757992,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Liaoning,2020,66,385.45,3994.24,6959.87,1319.49,0.792334927140255,0.15021516393442624,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Liaoning,2021,69,383.91,,6851.21,1170.81,0.782101598173516,0.1336541095890411,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Liaoning,2022,69,383.91,,6623.21,1634.67,0.7560742009132421,0.18660616438356165,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Liaoning,2023,73,390.55,,6704.55,1452.63,0.7653595890410959,0.16582534246575345,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Neimenggu,2018,171,365.44,5157.14,7273.98,917.51,0.8303630136986301,0.10473858447488585,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Neimenggu,2019,170,370.82,5299.44,7533.51,624.06,0.8599897260273973,0.07123972602739725,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Neimenggu,2020,176,377.81,5137.86,7334.98,787.87,0.8350387067395264,0.08969376138433516,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Neimenggu,2021,182,387.7,,7413.29,742.2,0.8462659817351598,0.08472602739726028,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Neimenggu,2022,185,394.03,,7702.26,497.92,0.8792534246575343,0.05684018264840183,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Neimenggu,2023,192,404.04,,7631.87,436.86,0.8712180365296803,0.04986986301369863,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Ningxia,2018,42,444.29,5106.24,7238.36,680.41,0.826296803652968,0.07767237442922374,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Ningxia,2019,43,465.12,4958.47,7215.02,868.12,0.8236324200913242,0.09910045662100457,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Ningxia,2020,54,494.74,4798.39,7125.13,1043.34,0.8111486794171221,0.11877732240437157,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Ningxia,2021,54,503.7,,7247.33,654.53,0.8273207762557078,0.07471803652968036,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Ningxia,2022,56,498.21,,7583.96,497.2,0.8657488584474886,0.056757990867579905,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Ningxia,2023,56,498.21,,7525.65,498.1,0.8590924657534246,0.05686073059360731,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Qinghai,2018,6,436.67,3493.8,4746.79,3377.91,0.5418710045662101,0.3856061643835616,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Qinghai,2019,6,436.67,3165.04,4334.34,4165.27,0.4947876712328767,0.4754874429223745,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Qinghai,2020,6,436.67,3019.68,4075.91,4350.03,0.46401525500910745,0.49522199453551907,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Qinghai,2021,6,436.67,,6289.04,2104.44,0.7179269406392694,0.24023287671232876,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Qinghai,2022,6,436.67,,6685.44,934.9,0.7631780821917807,0.10672374429223744,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Qinghai,2023,6,436.67,,7041.7,860.44,0.8038470319634703,0.09822374429223744,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Shaanxi,2018,61,415.08,4674.73,6395.99,1602.01,0.7301358447488584,0.18287785388127853,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Shaanxi,2019,65,422.0,4462.35,6347.95,1790.52,0.7246518264840183,0.2043972602739726,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Shaanxi,2020,74,466.76,4137.64,6229.18,2045.36,0.70915072859745,0.23285063752276866,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Shaanxi,2021,80,473.5,,6962.52,1136.0,0.7948082191780822,0.12968036529680366,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Shaanxi,2022,80,473.5,,7073.03,1043.08,0.8074235159817351,0.11907305936073058,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Shaanxi,2023,82,469.76,,6957.09,1217.8,0.7941883561643835,0.13901826484018265,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Shandong,2018,142,367.64,5298.92,7033.28,1004.89,0.8028858447488584,0.1147134703196347,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Shandong,2019,143,371.26,4588.0,6354.79,1651.62,0.7254326484018265,0.18854109589041096,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Shandong,2020,144,382.15,4116.18,5867.47,2247.92,0.6679724499089253,0.2559107468123862,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Shandong,2021,142,398.06,,6549.63,1556.15,0.7476746575342466,0.17764269406392696,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Shandong,2022,142,397.92,,6450.53,1575.78,0.7363618721461187,0.17988356164383562,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Shandong,2023,138,407.97,,6360.84,1735.89,0.7261232876712329,0.1981609589041096,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
