edb_code,indicator,unit,freq,date,value
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20230930,41478.94
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20231031,41679.4
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20231130,41843.24
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20231231,41944.07
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20240131,42979.67
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20240229,43267.42
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20240331,44032.34
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20240430,44334.53
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20240531,44396.64
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20240630,44800.51
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20240731,44942.36
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20240831,45029.22
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20240930,45710.34
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20241031,45604.66
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20241130,45624.68
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20241231,45599.86
