province,year,iv_bartik_gc_relative_raw,iv_bartik_gc_level_raw,iv_interpolated_flag,iv_bartik_gc_relative_z,iv_bartik_gc_level_z
Qinghai,2017,0.07780683876618232,0.020641903333383577,1,1.1595980411607956,1.7187519045052555
Qinghai,2018,0.05593664607954704,0.016313841571074045,0,0.5177550364591996,1.1596566267491275
Qinghai,2019,0.06872485350499691,0.011794053812122847,0,0.8930613538888521,0.5757943504536251
Qinghai,2020,-0.004249936360171331,-0.0037145956314763393,0,-1.2485913999595288,-1.4275995807052047
Qinghai,2021,-0.017711664847648856,-0.006579045659591898,0,-1.6436641084939938,-1.7976267596226394
Qinghai,2022,-0.023502419465419533,-0.011248989130056147,0,-1.8136102720516132,-2.4008860209533696
Shaanxi,2007,-0.007719959820815974,-0.002987007047130796,0,-1.350429107394371,-1.3336103162267356
Shaanxi,2008,-0.019380178613838842,-0.0029790176933925908,0,-1.6926313903292283,-1.3325782584159502
Shaanxi,2009,-0.022458735940860775,-0.006594678149367394,0,-1.78298041071666,-1.7996461511408386
Shaanxi,2010,-0.007550171462219905,-0.001328842022813486,0,-1.345446185121754,-1.1194099915203062
Shaanxi,2011,0.03416083132992915,0.008046810830873479,0,-0.12131817926336316,0.09172874083918399
Shaanxi,2012,0.04576268583202823,0.010244642693423404,0,0.21917123756233126,0.37564276128003593
Shaanxi,2013,0.05084512661579292,0.012252046163088505,0,0.36832991716842955,0.6349574065133169
Shaanxi,2014,0.0444203910678843,0.01194653087039769,0,0.17977778013111975,0.595491205057225
Shaanxi,2015,0.0500662800319818,0.012936019755886572,0,0.3454724490739491,0.723312524079669
Shaanxi,2016,0.07081015295680977,0.01522244197141388,0,0.9542603970354663,1.0186705697504133
Shaanxi,2017,0.056178147790921784,0.012392227469239273,1,0.5248425910267488,0.6530659064846199
Shaanxi,2018,0.041307384268982276,0.009511167566006194,0,0.08841774201473074,0.28089307825524734
Shaanxi,2019,0.03885713295333927,0.005777325069421453,0,0.01650814847615176,-0.20144146833211773
Shaanxi,2020,-0.009804309994087528,-0.003997957003166635,0,-1.411600291262378,-1.4642039577938541
Shaanxi,2021,-0.015356291740879094,-0.005655301054433786,0,-1.5745389858348653,-1.6782982299112228
Shaanxi,2022,-0.015604985896647824,-0.00868542561465767,0,-1.5818376231389562,-2.069727101695626
Shandong,2007,0.0065649366955813976,0.0001711662624613602,0,-0.9311981919055121,-0.9256402176701484
Shandong,2008,-0.00626312847168126,-0.0012953975988617787,0,-1.3076742481267836,-1.1150896697398944
Shandong,2009,-0.0010862551954423233,-0.002522075204743793,0,-1.1557441784566114,-1.2735508226629653
Shandong,2010,-0.009470787083802168,-0.0010811200272026426,0,-1.4018121128982617,-1.0874094782308559
Shandong,2011,0.008055416221185947,0.0029240995176996526,0,-0.8874558312017201,-0.5700186790902055
Shandong,2012,0.008292928667539647,0.0033548929430639975,0,-0.880485352961954,-0.5143691567319414
Shandong,2013,0.004689042419789909,0.0040880872432356614,0,-0.9862516445992466,-0.4196557507280163
Shandong,2014,-0.0013328366582025944,0.003972262933796344,0,-1.1629808127757264,-0.43461783491563466
Shandong,2015,0.0071039820385315495,0.004677551896423579,0,-0.9153783732351007,-0.3435092162974043
Shandong,2016,0.023349960548956897,0.006206514382948328,0,-0.4385939291812056,-0.14599916375460067
Shandong,2017,0.025265423263640324,0.005799955557531155,1,-0.3823792281128615,-0.19851808143740324
Shandong,2018,0.02722092329294394,0.005390620764548511,0,-0.3249895181781479,-0.2513955962110732
Shandong,2019,0.05143394017803179,0.006321498704118466,0,0.3856103257780616,-0.13114558852560185
Shandong,2020,0.03783068944401108,0.0032260471358297855,0,-0.013615755580087097,-0.5310133467503584
Shandong,2021,0.034755747968209606,0.002742535958466448,0,-0.10385865852972816,-0.5934729027484444
Shandong,2022,0.03922890958903728,0.0015654271428585291,0,0.027418991208693337,-0.7455308021857006
Shanghai,2007,0.006861701390206799,-0.0004893916002295818,0,-0.9224887879227975,-1.0109705114592353
Shanghai,2008,-0.005226219403200944,-0.001191158308148355,0,-1.2772432024724654,-1.101624128258475
Shanghai,2009,0.0025960611529660706,-0.0016187428126649616,0,-1.0476761324549613,-1.1568591249950655
Shanghai,2010,-0.009032393210682457,-0.0008372487286889743,0,-1.3889461978696356,-1.0559063946643013
Shanghai,2011,0.004869954023335584,0.0024950489587067136,0,-0.9809422790683202,-0.6254430594769528
Shanghai,2012,0.003551660979797201,0.0029417009462259676,0,-1.0196313377458397,-0.5677449417659088
Shanghai,2013,0.004869023730175798,0.004000697797194054,0,-0.9809695811669111,-0.43094464383787684
Shanghai,2014,0.0005830136819489793,0.003988958651210841,0,-1.1067547357355865,-0.4324610965699658
Shanghai,2015,0.010574450151207445,0.005139400983997902,0,-0.8135276162217809,-0.28384795033594284
Shanghai,2016,0.030647538476950904,0.007111047624469037,0,-0.22442575007732327,-0.029152341393680864
Shanghai,2017,0.03168070332474904,0.0066583087270925805,1,-0.1941045892277412,-0.08763676085922503
Shanghai,2018,0.03273413339743312,0.006197075347649541,0,-0.16318868771820608,-0.14721849017643743
Shanghai,2019,0.05956342885955085,0.006905302502065338,0,0.6241932919547796,-0.0557303184824093
Shanghai,2020,0.049664175027664466,0.003849078926962961,0,0.3336715341083347,-0.45053063845170804
Shanghai,2021,0.05080516937872829,0.0036299057624223784,0,0.36715725840567387,-0.4788432384179612
Shanghai,2022,0.04899393774135226,0.002264766494381354,0,0.31400151474117316,-0.6551907491877506
