province,year,green_credit_high_energy_interest_share,green_credit_proxy,green_credit_proxy_pct,green_credit_interpolated_flag
Jiangxi,2005,0.62245417515275,0.37754582484724997,37.754582484725,0
Jiangxi,2006,0.619282800085892,0.380717199914108,38.0717199914108,0
Jiangxi,2007,0.623249299719888,0.37675070028011204,37.675070028011206,0
Jiangxi,2008,0.580968468468469,0.41903153153153105,41.903153153153106,0
Jiangxi,2009,0.577109974424553,0.42289002557544697,42.2890025575447,0
Jiangxi,2010,0.618695791840668,0.38130420815933197,38.1304208159332,0
Jiangxi,2011,0.61799188336089,0.38200811663911005,38.200811663911004,0
Jiangxi,2012,0.630574033013057,0.36942596698694297,36.942596698694295,0
Jiangxi,2013,0.589695498676081,0.41030450132391905,41.030450132391906,0
Jiangxi,2014,0.582137642853547,0.41786235714645303,41.7862357146453,0
Jiangxi,2015,0.5313994090787,0.4686005909213,46.86005909213,0
Jiangxi,2016,0.497994958753437,0.502005041246563,50.2005041246563,0
Jiangxi,2017,0.489168156483332,0.510831843516668,51.0831843516668,1
Jiangxi,2018,0.481510277467321,0.518489722532679,51.8489722532679,0
Jiangxi,2019,0.40241847556745,0.59758152443255,59.758152443255,0
Jiangxi,2020,0.420655277549243,0.5793447224507571,57.93447224507571,0
Jiangxi,2021,0.43860333560909,0.5613966643909101,56.13966643909101,0
Jiangxi,2022,0.415037837400348,0.584962162599652,58.496216259965195,0
Jilin,2005,0.490985324947589,0.5090146750524109,50.901467505241094,0
Jilin,2006,0.468338213762811,0.5316617862371891,53.166178623718906,0
Jilin,2007,0.406792452830189,0.5932075471698111,59.32075471698111,0
Jilin,2008,0.465301749791691,0.5346982502083091,53.46982502083091,0
Jilin,2009,0.388916476313437,0.611083523686563,61.108352368656305,0
Jilin,2010,0.440697312441631,0.559302687558369,55.9302687558369,0
Jilin,2011,0.451763762693747,0.548236237306253,54.8236237306253,0
Jilin,2012,0.42900424156736,0.5709957584326399,57.09957584326399,0
Jilin,2013,0.446694943525711,0.553305056474289,55.33050564742889,0
Jilin,2014,0.480966356173706,0.519033643826294,51.903364382629405,0
Jilin,2015,0.47571146075144,0.52428853924856,52.428853924856,0
Jilin,2016,0.46974506974507,0.53025493025493,53.025493025493,0
Jilin,2017,0.503864414265209,0.496135585734791,49.6135585734791,1
