outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations,sse_improvement_over_worst_percent
windsolar_gen_sh,1,2015,False,jump,0.5217,52.17,0.02510158365231674,0.006580400765828403,0.00013640479448842846,0.13667552095623065,248,31,52,196,2.4787643188048354
windsolar_gen_sh,2,2015,False,jump,0.5248,52.480000000000004,0.036645198736444576,0.014364541240342291,0.010738742279135674,0.11285103122291831,217,31,45,172,5.037590907943967
windsolar_gen_sh,3,2015,False,jump,0.9028,90.28,-0.03248355924123943,0.013173542605933284,0.013670075110201687,0.10007683514924276,186,31,152,34,6.018020795764658
windsolar_gen_sh,1,2016,False,jump,0.5756,57.56,0.033433107625005086,0.02823466340408563,0.23636727443852426,0.08931803069707189,217,31,56,161,4.391866256068807
windsolar_gen_sh,2,2016,False,jump,0.5239,52.39,0.037777473975931355,0.01355868506755059,0.005332673313990874,0.08958835709224837,186,31,39,147,5.4204778666982225
windsolar_gen_sh,3,2016,False,jump,0.7922,79.22,0.052712538545707274,0.035349255222022355,0.13591100468702358,0.07958217849040294,155,31,90,65,5.174207061329329
windsolar_gen_sh,1,2013,True,jump,0.5235,52.349999999999994,0.020806209394256855,0.0065083077462830515,0.0013892784839905747,0.13702055247092199,309,31,62,247,1.96077089827485
windsolar_gen_sh,2,2013,True,jump,0.8923,89.23,-0.01822048630603911,0.007741658826630901,0.018594427370481368,0.1545293331628974,278,31,217,61,2.238405144322444
windsolar_gen_sh,3,2013,True,jump,0.7758,77.58,0.02618776830262055,0.009650562473908698,0.006655643585081361,0.150517292146144,247,31,127,120,3.709426813621267
windsolar_gen_sh,1,2014,True,jump,0.5238,52.38,0.02362243178677611,0.0066090677408139255,0.00035123902594634353,0.1334583092178372,279,31,58,221,2.3619616036361397
windsolar_gen_sh,2,2014,True,jump,0.9168,91.67999999999999,-0.02212748311049817,0.007401824793549116,0.0027946807555614397,0.13812082491242225,248,31,210,38,2.9398732719219463
windsolar_gen_sh,3,2014,True,jump,0.9075,90.75,-0.025917585773995475,0.009414638619862737,0.00590694166589025,0.09459283857348526,217,31,178,39,5.790762247411461
windsolar_gen_sh,1,2015,True,jump,0.5217,52.17,0.024432486971489878,0.008167109805699171,0.002775461986663538,0.1277155872490291,248,31,52,196,2.444649941117889
windsolar_gen_sh,2,2015,True,jump,0.5745,57.45,0.03333427253719419,0.022252506329349577,0.134133039643698,0.09077709595245578,217,31,57,160,5.480002846207774
windsolar_gen_sh,3,2015,True,jump,0.9065,90.64999999999999,-0.032788028699605225,0.008911643122951857,0.00023393469133772924,0.07767234499785688,186,31,153,33,8.391271380146817
