outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations
windsolar_gen_sh,3,2013,True,jump,0.7758,77.58,0.02618776830262055,0.009650562473908698,0.006655643585081361,0.150517292146144,247,31,127,120
windsolar_gen_sh,3,2013,True,jump,0.7795,77.95,0.02618776830262055,0.009650562473908698,0.006655643585081361,0.150517292146144,247,31,127,120
windsolar_gen_sh,3,2013,True,jump,0.7831,78.31,0.020895396201339334,0.007546183777459264,0.005622833056023356,0.15264124553270744,247,31,128,119
windsolar_gen_sh,3,2013,True,jump,0.7868,78.68,0.014287942869100834,0.009228433136256493,0.12156156287978005,0.15464095775474762,247,31,131,116
windsolar_gen_sh,3,2013,True,jump,0.7905,79.05,0.01514183729619284,0.010778227151521335,0.16006464879985383,0.15451568953972733,247,31,133,114
windsolar_gen_sh,3,2013,True,jump,0.7942,79.42,0.011758706781524703,0.011343603269083747,0.2999252877022307,0.15526969534732316,247,31,134,113
windsolar_gen_sh,3,2013,True,jump,0.7978,79.78,0.011524949427897823,0.010784345721025013,0.2852166099610834,0.15525435783442493,247,31,135,112
windsolar_gen_sh,3,2013,True,jump,0.8015,80.15,0.018931136102117996,0.01169987296367887,0.10564893740920672,0.15373693375424344,247,31,138,109
windsolar_gen_sh,3,2013,True,jump,0.8052,80.52,0.014274422139564273,0.011307314331834668,0.20680270959799776,0.1547257571612175,247,31,139,108
windsolar_gen_sh,3,2013,True,jump,0.8088,80.88,0.014274422139564273,0.011307314331834668,0.20680270959799776,0.1547257571612175,247,31,139,108
windsolar_gen_sh,3,2013,True,jump,0.8125,81.25,0.013670799216646472,0.0111097724411608,0.21850237382555157,0.15480911049822174,247,31,141,106
windsolar_gen_sh,3,2013,True,jump,0.8162,81.62,0.003289291048144226,0.007643646523152722,0.6669555463668568,0.15622051225866512,247,31,145,102
windsolar_gen_sh,3,2013,True,jump,0.8199,81.99,-0.0036697457083044185,0.0065898936877201355,0.5776129754266055,0.15621095868273283,247,31,148,99
windsolar_gen_sh,3,2013,True,jump,0.8235,82.35,-0.002477575741042281,0.006020619922354988,0.6806949039853445,0.1562671683746455,247,31,150,97
windsolar_gen_sh,3,2013,True,jump,0.8272,82.72,-0.00430326732968263,0.006628747827633346,0.5162203979859135,0.15618458892402737,247,31,152,95
windsolar_gen_sh,3,2013,True,jump,0.8309,83.09,-0.0020274438107571744,0.0059094072774933904,0.7315326293382243,0.1562848724390261,247,31,156,91
windsolar_gen_sh,3,2013,True,jump,0.8346,83.46000000000001,-0.004189915435983699,0.005575178527205279,0.45233358933092266,0.15618320935874885,247,31,159,88
windsolar_gen_sh,3,2013,True,jump,0.8382,83.82,-0.003530946659463815,0.008195681159546333,0.6665918650324869,0.1562176953085375,247,31,161,86
windsolar_gen_sh,3,2013,True,jump,0.8419,84.19,-0.013136961236606293,0.01146021659032962,0.2516668938169078,0.1549234202318939,247,31,163,84
windsolar_gen_sh,3,2013,True,jump,0.8456,84.56,-0.009269660943201157,0.013466578907494416,0.49123514409583735,0.15561475328159807,247,31,166,81
windsolar_gen_sh,3,2013,True,jump,0.8492,84.92,-0.008701035135941112,0.013227640879317918,0.5106718546346367,0.15567978867869448,247,31,167,80
windsolar_gen_sh,3,2013,True,jump,0.8529,85.28999999999999,-0.010001205626248651,0.014509856226076348,0.49065350215298464,0.1555362377323723,247,31,168,79
