lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,high_vs_middle_coefficient,bootstrap_repetition
76.44,87.76,0.04345805686978037,0.02630963202025323,383
65.22,77.78,-0.027156146542793285,0.030072963837594124,384
77.77,84.74000000000001,0.042498209578182684,-0.01610816204145519,385
61.11,92.10000000000001,-0.05718634316951521,-0.05628062314926385,386
77.75,94.8,0.053656272219592654,0.016209446374638586,387
84.31,92.10000000000001,-0.03803923428703168,-0.023097722260926982,388
77.60000000000001,92.44,0.03750020030369374,-0.027483002034172074,389
77.4,90.46,0.02657305922189017,-0.026110255254651007,390
77.83,92.33,0.04883411073696721,-0.016586208220382807,391
60.97,86.15,-0.06264481158743164,-0.04252500968794573,392
81.05,84.0,0.03441571278805823,-0.03622111380417259,393
77.62,88.61,0.049939584758287026,-0.034671080735890675,394
77.66,91.33,0.028328555648434162,-0.021138139396670433,395
77.60000000000001,88.6,0.03697867815797913,-0.03540868605976841,396
74.08,77.44,-0.01571086306701645,0.031077288718546023,397
66.49000000000001,83.91,-0.0285728727858385,-0.03506830819479584,398
77.75,85.76,0.040873334864843854,-0.028004096879092298,399
60.86,89.8,-0.048604159929759326,-0.024728665405558188,400
80.38,92.17999999999999,0.0418275477299676,-0.02508114186472921,401
60.99,87.33,-0.06950560398711314,-0.03241755667698533,402
77.39,84.48,0.029599422997668802,-0.03841709766704721,403
65.58,77.35,0.023016351739795857,0.021393536007071976,404
77.69,84.32,0.04507661873411204,-0.03403645400100384,405
60.97,91.23,-0.050277238758277186,-0.02430750037420753,406
60.67,89.38000000000001,-0.03485798686159288,-0.02922531470765089,407
60.940000000000005,77.62,-0.0344358664630676,0.01937583207382229,408
77.95,90.51,0.03623102251670327,-0.036800451451427865,409
77.84,92.11,0.0289553866826451,-0.02417211646618599,410
76.06,83.91999999999999,0.037684450476378625,-0.060304911655359214,411
59.64,86.27,-0.09799566938996723,-0.03680919578028183,412
77.58,90.56,0.03121717641742778,-0.023688769966306172,413
77.3,88.0,0.030072035919027428,0.02247686274014364,414
61.12,84.75,-0.05942810431931077,-0.03755629351049529,415
77.56,85.71,0.058432833976144266,-0.022303117301694424,416
60.980000000000004,89.75,-0.06051352252350808,-0.06816807451028647,417
61.1,90.52,-0.05579781814363748,-0.04701344020004957,418
77.75999999999999,92.58,0.037280016571693025,-0.02161407234358503,419
60.62,90.51,-0.04130754546515269,-0.027305416447446447,420
76.08,90.77,0.030182216293345745,-0.02399245831863948,421
77.66,81.98,0.04171752247528604,-0.01430302896135471,422
60.940000000000005,85.57000000000001,-0.04080646852787579,-0.039717080168780845,423
77.60000000000001,90.61,0.03248592644257748,-0.019101639821429636,424
60.86,92.19000000000001,-0.03034170166181779,-0.0250154701319335,425
77.84,87.78,0.05256456776064131,0.03281456595410973,426
61.019999999999996,88.8,-0.03866244260396723,-0.026798870964723692,427
77.42999999999999,90.63,0.032647235659240686,-0.025350899627587107,428
60.540000000000006,89.62,-0.04828401493770978,-0.034144944631599415,429
86.28,89.71000000000001,0.03284989600155063,-0.04341188750889661,430
61.040000000000006,89.60000000000001,-0.05946025898122488,-0.051290602194941845,431
77.49000000000001,90.71000000000001,0.03753481654643322,-0.018938198046881117,432
76.35,84.21,0.03429308305929874,-0.018351418770911662,433
74.2,77.61,-0.014618007368332433,0.029193587676667975,434
77.9,89.34,0.0389716616035604,-0.024265537230415808,435
61.08,86.38,-0.0493914597434997,-0.02564665324495472,436
77.59,88.11,0.03324537356166485,0.018333679411263765,437
77.57,84.3,0.031782185875134386,-0.02298253036098622,438
59.599999999999994,90.23,-0.061163037222477436,-0.04013536547778795,439
