lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,middle_vs_low_standard_error,middle_vs_low_p,high_vs_low_coefficient,high_vs_low_standard_error,high_vs_low_p,sse,low_observations,middle_observations,high_observations
62.09,77.82,0.003662091521277034,0.009063183382676853,0.6861668422455703,0.03818627582767443,0.017722633339378898,0.031188332225529067,0.11147930376783402,32,49,120
62.96000000000001,77.82,0.0032603697645416157,0.00812896381092318,0.6883607760777486,0.03773060844937398,0.017421973835467217,0.030334822550728488,0.11147947755996325,33,48,120
62.96000000000001,77.38000000000001,0.0032603697645416157,0.00812896381092318,0.6883607760777486,0.03773060844937398,0.017421973835467217,0.030334822550728488,0.11147947755996325,33,48,120
64.71000000000001,77.82,0.002448410212828459,0.011693132517431733,0.8341447869098986,0.03682850083776183,0.018619216434579165,0.04793058052359303,0.11148576675435196,39,42,120
64.71000000000001,77.38000000000001,0.002448410212828459,0.011693132517431733,0.8341447869098986,0.03682850083776183,0.018619216434579165,0.04793058052359303,0.11148576675435196,39,42,120
66.89,77.82,0.0019522520601042343,0.012444096941153136,0.8753380206662641,0.03623436355690093,0.018794468958709728,0.05386421079835048,0.11149454836997369,46,35,120
67.33,77.38000000000001,0.0019522520601042343,0.012444096941153136,0.8753380206662641,0.03623436355690093,0.018794468958709728,0.05386421079835048,0.11149454836997369,46,35,120
66.46,77.82,0.0019522520601042343,0.012444096941153136,0.8753380206662641,0.03623436355690093,0.018794468958709728,0.05386421079835048,0.11149454836997369,46,35,120
66.89,77.38000000000001,0.0019522520601042343,0.012444096941153136,0.8753380206662641,0.03623436355690093,0.018794468958709728,0.05386421079835048,0.11149454836997369,46,35,120
66.46,77.38000000000001,0.0019522520601042343,0.012444096941153136,0.8753380206662641,0.03623436355690093,0.018794468958709728,0.05386421079835048,0.11149454836997369,46,35,120
67.33,77.82,0.0019522520601042343,0.012444096941153136,0.8753380206662641,0.03623436355690093,0.018794468958709728,0.05386421079835048,0.11149454836997369,46,35,120
65.14,77.82,-0.0019032057587493067,0.014351544756298617,0.8944992107756771,0.03189267783045184,0.019591806008693397,0.10355500225282745,0.11149635126503402,42,39,120
65.14,77.38000000000001,-0.0019032057587493067,0.014351544756298617,0.8944992107756771,0.03189267783045184,0.019591806008693397,0.10355500225282745,0.11149635126503402,42,39,120
77.82,87.86,0.0337196761592932,0.012035599106404019,0.005084016734596746,0.0326168115078635,0.01837791486205622,0.075933718664493,0.1115037191016518,81,57,63
77.38000000000001,87.86,0.0337196761592932,0.012035599106404019,0.005084016734596746,0.0326168115078635,0.01837791486205622,0.075933718664493,0.1115037191016518,81,57,63
70.82000000000001,77.82,-0.0011498938695875638,0.010781615684446768,0.915064107643675,0.03299096084411595,0.015436925289734796,0.03258613059478202,0.11150723340932797,56,25,120
