province,date,value
吉林,20210630,24165.56
吉林,20210731,24194.01
吉林,20210831,24186.65
吉林,20210930,24347.97
吉林,20211031,24478.15
吉林,20211130,24453.04
吉林,20211231,24594.72
吉林,20220131,24973.75
吉林,20220228,25041.2
吉林,20220331,25253.87
吉林,20220430,25111.28
吉林,20220531,25297.63
吉林,20220630,25624.68
吉林,20220731,25720.38
吉林,20220831,25837.72
吉林,20220930,25962.83
吉林,20221031,26039.73
吉林,20221130,26075.18
吉林,20221231,26313.82
吉林,20230131,26624.5
吉林,20230228,26794.01
吉林,20230331,27179.88
吉林,20230430,27242.93
吉林,20230531,27249.9
吉林,20230630,27522.27
吉林,20230731,27493.29
吉林,20230831,27598.84
吉林,20230930,27724.79
吉林,20231031,27691.48
吉林,20231130,27689.63
吉林,20231231,27777.34
吉林,20240131,28018.25
吉林,20240229,28114.31
吉林,20240331,28638.32
吉林,20240430,28735.59
吉林,20240531,28664.86
吉林,20240630,28831.19
吉林,20240731,28703.84
吉林,20240831,28794.55
吉林,20240930,28873.43
吉林,20241031,28852.81
吉林,20241130,29026.24
吉林,20241231,29114.8
黑龙江,20090131,4878.6
黑龙江,20090228,5016.2
黑龙江,20090331,5364.8
黑龙江,20090430,5533.65
黑龙江,20090531,5612.1
黑龙江,20090630,5702.5
黑龙江,20090731,5849.6
黑龙江,20090831,5844.5
黑龙江,20090930,5915.2
黑龙江,20091031,5946.4
黑龙江,20091130,5913.4
黑龙江,20091231,5988.3
黑龙江,20100131,6091.5
黑龙江,20100228,6215.5
黑龙江,20100331,6407.9
黑龙江,20100430,6544
黑龙江,20100531,6638.3
黑龙江,20100630,6746
黑龙江,20100731,6788.1
黑龙江,20100831,6845.9
黑龙江,20100930,6938.1
黑龙江,20101031,7007.6
黑龙江,20101130,6990.2
黑龙江,20101231,7230.5
黑龙江,20110131,7387.9
黑龙江,20110228,7497
黑龙江,20110331,7617
黑龙江,20110430,7755.5
黑龙江,20110531,7809.7
黑龙江,20110630,7901.3
黑龙江,20110731,7889.6
黑龙江,20110831,7941.9
黑龙江,20110930,8054.8
黑龙江,20111031,8105
黑龙江,20111130,8184.7
黑龙江,20111231,8548.7
黑龙江,20120131,8781.9
黑龙江,20120229,9022.1
黑龙江,20120331,9322.7
黑龙江,20120430,9409.9
黑龙江,20120531,9529.4
黑龙江,20120630,9710.7
黑龙江,20120731,9652.1
黑龙江,20120831,9756
黑龙江,20120930,9793.4
黑龙江,20121031,9857.4
黑龙江,20121130,9811.5
黑龙江,20121231,9906.7
黑龙江,20130131,10104.1
黑龙江,20130228,10293.9
黑龙江,20130331,10585.5
黑龙江,20130430,10716.4
黑龙江,20130531,10756.6
黑龙江,20130630,10863.2
黑龙江,20130731,10898.6
黑龙江,20130831,10961.1
黑龙江,20130930,10995.1
黑龙江,20131031,10971.3
黑龙江,20131130,11069.9
黑龙江,20131231,11359.4
黑龙江,20140131,11824.9
黑龙江,20140228,12002.7
黑龙江,20140331,12265.5
黑龙江,20140430,12414.6
黑龙江,20140531,12514.7
黑龙江,20140630,12613.4
黑龙江,20140731,12562.1
黑龙江,20140831,12573.9
黑龙江,20140930,12662.2
黑龙江,20141031,12725.7
黑龙江,20141130,13023.1
黑龙江,20141231,13391.7
黑龙江,20150131,13845.2
黑龙江,20150228,14150.4
黑龙江,20150331,14431
黑龙江,20150430,14560.4
黑龙江,20150531,14619.3
黑龙江,20150630,14779.2
黑龙江,20150731,14780.8
黑龙江,20150831,14850
黑龙江,20150930,14981.9
黑龙江,20151031,15169.8
黑龙江,20151130,15756.8
黑龙江,20151231,16214.9
黑龙江,20160131,16571.3
黑龙江,20160229,16646.1
黑龙江,20160331,16944.4
黑龙江,20160430,16913
黑龙江,20160531,16932.5
黑龙江,20160630,16978.9
黑龙江,20160731,16759.3
黑龙江,20160831,16854.6
黑龙江,20160930,16887
黑龙江,20161031,16935
黑龙江,20161130,17311.7
黑龙江,20161231,17725
黑龙江,20170131,17932.1
黑龙江,20170228,18044.3
黑龙江,20170331,18361
黑龙江,20170430,18193.7
黑龙江,20170531,18310.6
黑龙江,20170630,18621.1
黑龙江,20170731,16759.3
