province,province_cn,year,month,technology,generation_ytd_100m_kwh,generation_monthly_100m_kwh,combined_jan_feb_flag,negative_increment_flag,wind_code,wind_name,wind_source
Anhui,安徽,2012,11,hydro,18.775077,0.858702000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2012,12,hydro,19.621537,0.8464600000000004,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,2,hydro,3.5801,,True,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,3,hydro,5.2,1.6199000000000003,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,4,hydro,6.99,1.79,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,5,hydro,9.45,2.459999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,6,hydro,12.91,3.460000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,7,hydro,16.83,3.919999999999998,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,8,hydro,20.71,3.8800000000000026,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,9,hydro,22.49,1.7799999999999976,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,10,hydro,23.94,1.4500000000000028,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,11,hydro,25.05,1.1099999999999994,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2013,12,hydro,25.76,0.7100000000000009,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,2,hydro,2.96,,True,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,3,hydro,4.05,1.0899999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2014,4,hydro,5.91,1.8600000000000003,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
