source_file,province,province_cn,year,variable,value,unit,source,date,original_header,notes
数据模板命名.csv,Neimenggu,内蒙古,2024,hydro_capacity_10k_kw,245,万千瓦,中国电力企业联合会,2024-12-01,发电设备容量:水电:内蒙古,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,1996,hydro_capacity_10k_kw,122.09,万千瓦,中国电力企业联合会,1996-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,1997,hydro_capacity_10k_kw,122.09,万千瓦,中国电力企业联合会,1997-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,1998,hydro_capacity_10k_kw,122.31,万千瓦,中国电力企业联合会,1998-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,1999,hydro_capacity_10k_kw,124,万千瓦,中国电力企业联合会,1999-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2000,hydro_capacity_10k_kw,124.85,万千瓦,中国电力企业联合会,2000-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2001,hydro_capacity_10k_kw,126.18,万千瓦,中国电力企业联合会,2001-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2002,hydro_capacity_10k_kw,126.14,万千瓦,中国电力企业联合会,2002-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2004,hydro_capacity_10k_kw,140.41,万千瓦,中国电力企业联合会,2004-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2006,hydro_capacity_10k_kw,140.1,万千瓦,中国电力企业联合会,2006-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2007,hydro_capacity_10k_kw,141,万千瓦,中国电力企业联合会,2007-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2008,hydro_capacity_10k_kw,143,万千瓦,中国电力企业联合会,2008-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2009,hydro_capacity_10k_kw,146,万千瓦,中国电力企业联合会,2009-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2010,hydro_capacity_10k_kw,147,万千瓦,中国电力企业联合会,2010-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2011,hydro_capacity_10k_kw,147,万千瓦,中国电力企业联合会,2011-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2012,hydro_capacity_10k_kw,272,万千瓦,中国电力企业联合会,2012-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2013,hydro_capacity_10k_kw,273,万千瓦,中国电力企业联合会,2013-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2014,hydro_capacity_10k_kw,293,万千瓦,中国电力企业联合会,2014-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2015,hydro_capacity_10k_kw,293,万千瓦,中国电力企业联合会,2015-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
数据模板命名.csv,Liaoning,辽宁,2016,hydro_capacity_10k_kw,293,万千瓦,中国电力企业联合会,2016-12-01,发电设备容量:水电:辽宁,"frequency=年, 年终12月"
